object_id,n_yes,pct_yes,n_no,pct_no,concept,count,ratio,n_unique_concepts,all_concepts_counts,n_single_concepts,single_ratio,n_valid_responses
12,26,0.2708333333333333,53,0.5520833333333334,bug,2,0.020833333333333332,28,"{'rocket': 1, 'bug': 2, 'bomb': 1, 'claw machine': 1, 'trapeziods': 1, 'trophy': 1, 'egg': 2, 'beatle': 1, 'spheres': 1, 'claw': 1, 'football': 1, 'eggs': 2, 'equipment': 1, 'toy': 2, 'bottle': 1, 'insect': 1, 'sphere': 1, 'rocketship': 1, 'exclammation point': 1, 'cup': 1, 'water bottle': 1, 'egg holder': 1, 'ear': 1, 'bar': 1, 'baby rattle': 1, 'alien': 1, 'makeup': 1, 'pacifeir': 1}",32,0.34782608695652173,92
13,29,0.3020833333333333,50,0.5208333333333334,table,3,0.03125,35,"{'frog': 1, 'vacuum': 2, 'prism': 1, 'trapezoid': 1, 'razor': 1, 'car': 1, 'bed': 1, 'buttons': 1, 'register': 1, 'toy': 1, 'camel': 1, 'timer': 1, 'box': 1, 'swing': 1, 'table': 3, 'mailbox': 1, 'outdoor bar': 1, 'lego': 1, 'triangle': 1, 'ice cream sundae': 1, 'bench': 1, 'pencil shapening': 1, 'traffic barricades': 1, 'circular': 3, 'forest': 1, 'stove top': 1, 'vacuum cleaner': 1, 'triangular': 1, 'button': 1, 'piano': 1, 'printing machine': 1, 'stools': 1, 'printer': 1, 'stove': 1, 'buzzer': 1}",40,0.43010752688172044,93
14,46,0.4791666666666667,33,0.34375,brush,10,0.10416666666666667,34,"{'tank': 1, 'house': 8, 'roof': 1, 'bridge': 2, 'table': 2, 'car wash': 1, 'columns': 1, 'tool': 1, 'gas station': 1, 'store': 1, 'rectangle': 1, 'speedbump': 1, 'brush': 10, 'dollhouse': 1, 'villa': 1, 'box': 1, 'building': 3, 'ticket entrance': 1, 'bench': 3, 'coffin': 1, 'container': 1, 'cabana': 1, 'horse stable': 1, 'parking lot': 1, 'kayak holder': 1, 'tollgate': 1, 'hotdog on a grill': 1, 'toothbrush': 1, 'loaf of bread': 1, 'shed': 1, 'desk': 1, 'pastry': 1, 'toy': 1, 'tent': 1}",56,0.5833333333333334,96
15,60,0.625,19,0.19791666666666666,flower,22,0.22916666666666666,25,"{'gear': 2, 'flower': 22, 'hotdog': 1, 'atom': 3, 'paper holder': 1, 'snowflake': 5, 'molecule': 4, 'cylinder': 2, 'star': 5, 'windmill': 1, 'jack (board game piece)': 4, '3d asterisk': 2, 'orbital': 1, 'toy': 1, 'balloon': 1, 'round': 1, 'pill': 1, 'asterisk': 5, 'candy': 1, 'balloon animal': 1, 'virus': 1, 'balloons': 1, 'sticks': 1, 'bar': 1, 'jacks (game piece)': 1}",69,0.7263157894736842,95
16,46,0.4791666666666667,33,0.34375,dumbbell,24,0.25,15,"{'dumbbell': 24, 'dumbell': 9, 'toy': 4, 'pentagon': 4, 'accordian': 1, 'house': 6, 'bench': 1, 'screws': 1, 'screw': 2, 'stress reliever': 1, 'seat': 1, 'pentagons': 1, 'octagons': 1, 'pentagrams': 1, 'foundation': 1}",58,0.6373626373626373,91
17,29,0.3020833333333333,50,0.5208333333333334,crown,5,0.052083333333333336,38,"{'octogonal prisim': 1, 'screw': 1, 'dinosaur': 4, 'shell': 2, 'brush': 1, 'console controller': 1, 'diamond': 3, 'bullet': 1, 'claw': 1, 'helment': 2, 'lego': 1, 'cylinder': 1, 'crown': 5, 'vase': 1, 'half circle': 1, 'hat': 2, 'crystal': 1, 'fire hydrant': 2, 'fungus': 1, 'prism': 1, 'tower': 1, 'knobs': 1, 'cone': 1, 'base': 2, 'geode': 1, 'ring pops': 1, 'pot': 1, 'cactus': 3, 'toothbrush holder': 1, 'mechanical device': 1, 'semi-circle': 1, 'stegosaurus': 1, 'dog paw': 1, 'plant': 1, 'paw': 1, 'foot': 1, 'flower': 1, 'helmet': 1}",54,0.6206896551724138,87
18,12,0.125,66,0.6875,triangles,4,0.041666666666666664,28,"{'prism': 1, 'bench': 1, 'sandwich': 1, 'symmetrical': 1, 'toy': 1, 'bread load': 1, 'tooth': 1, 'pinball': 1, 'chain': 1, 'people hugging': 1, 'block': 1, 'triangular': 1, 'rectangular': 1, 'buffer': 1, 'burger': 1, 'triangles': 4, 'pastry': 1, 'couch': 1, 'chocolate': 1, 'loop': 1, 'lips': 1, 'semi-circles': 1, 'salt/pepper shaker': 1, 'grill': 1, 'fortune cookies': 1, 'wall-e': 1, 'bar': 1, 'pacifer': 1}",31,0.4025974025974026,77
19,51,0.53125,28,0.2916666666666667,toy,8,0.08333333333333333,28,"{'yo-yo': 6, 'top': 6, 'calculator': 1, 'dumbbell': 5, 'cylinder': 3, 'toy': 8, 'exercise tool': 2, 'screw cap': 1, 'rod': 2, 'satelite tower': 1, 'screw': 2, ""dog's water dispenser"": 1, 'yarn spools': 1, 'abacus bead': 1, 'kandama': 1, 'roller': 2, 'tanghuru': 1, 'hourglass': 2, 'kabob': 1, 'tube': 1, 'weight': 1, 'kendama': 1, 'pillar': 1, 'kebab': 1, 'rolling pin': 1, 'yoyo': 2, 'bar': 1, 'coil': 1}",57,0.6333333333333333,90
20,32,0.3333333333333333,47,0.4895833333333333,fire hydrant,16,0.16666666666666666,26,"{'top': 1, 'fire hydrant': 16, 'triangular': 1, 'turret': 1, 'cone': 5, 'muhroom': 1, 'mushroom': 9, 'hat': 1, 'bouie': 1, 'pencil top': 1, 'cork': 1, 'knob': 1, 'pencil sharpener': 1, 'toy': 3, 'base': 1, 'eraser': 1, 'game machine': 1, 'alarm': 1, 'crayon': 1, 'pot': 1, 'hook': 1, 'sause holder': 1, 'lighthouse': 1, 'pencil': 1, 'dreidel': 1, 'breakwater': 1}",55,0.5851063829787234,94
21,38,0.3958333333333333,41,0.4270833333333333,butterfly,22,0.22916666666666666,26,"{'butterfly': 22, 'z shaped rod': 1, 'mirror': 1, 'toast': 1, 'stick': 1, 'bookshelf': 1, 'hot dog': 1, 'x': 1, 'hourglass': 6, 'flat boards': 1, 'bookend': 1, 'triangles': 3, 'kitchen sponge': 1, 'wooden fan': 1, 'statue': 1, 'dish sponge': 1, 'sandwich': 1, 'hourglass timer': 1, 'popsicle': 1, 'napkin': 1, 'chromosome': 1, 'z': 1, 'shield': 1, 'sponge': 1, 'bread with butter': 1, 'napkin holder': 1}",54,0.6923076923076923,78
22,35,0.3645833333333333,44,0.4583333333333333,x,16,0.16666666666666666,27,"{'sphere': 1, 'chromosone': 4, 'x': 16, 'legs buckling': 1, 'x chromosone': 4, '3d x': 1, 'cherries': 1, 'molecule': 2, 'spheres': 1, 'nunchucks': 1, 'oval cylinder': 1, 'eggplant': 1, 'anther': 1, 'dna': 2, 'statue': 1, 'atomic p orbitals': 1, 'automic messege tool': 1, 'closing legs': 1, 'stich': 1, 'ceiling fan': 1, 'dumbell': 1, 'chromosome': 4, 'x chromosome': 2, 'snake': 1, 'swiggly lines': 1, 'mushroom': 1, 'stress ball': 1}",54,0.6835443037974683,79
23,21,0.21875,58,0.6041666666666666,triangle,4,0.041666666666666664,19,"{'highlighter': 2, 'ark reactor': 1, 'recycle icon': 1, 'perfume bottle': 1, 'triangle': 4, 'spinner toy': 1, 'connector piece': 1, 'extension cable cord': 1, 'yield sign': 2, 'seat belt buckle': 2, 'toy': 1, 'logo': 1, 'funnel': 1, 'triangular prism': 1, 'building': 1, 'object 1': 1, 'hazard sign': 1, 'harness buckle': 1, 'shapes': 1}",25,0.31645569620253167,79
24,35,0.3645833333333333,44,0.4583333333333333,cylinder,6,0.0625,28,"{'circular prism': 1, 'wheel': 4, 'cylinder': 6, 'back massage roller': 1, 'motorcycle wheel': 1, 'exercise roller': 4, 'bolt': 1, 'swing': 1, 'necklace charm': 1, 'seesaw': 2, 'bicycle handles': 1, 'toilet paper roll holder': 1, 'animation character with arms up': 1, 'pulley system': 1, 'mortar wheel': 1, 'necklace  charm': 1, 'bead on a string': 1, 'necklace': 2, 'rolling pin': 1, 'foam roller': 1, 'ab roller': 3, 'skateboard wheel': 1, 'shape': 1, 'bug': 1, 'circle': 1, 'pigs in a blanket': 1, 'construction link': 1, 'stress ball': 1}",43,0.5512820512820513,78
25,56,0.5833333333333334,23,0.23958333333333334,hammer,29,0.3020833333333333,27,"{'hammer': 29, 'cross': 1, 'gravity balance toy': 1, 'martial arts practice dummy': 1, 'plunger': 1, 'signpost': 1, 'crucifix': 1, 'mailbox': 1, 'sign': 4, 'immigration control stamp': 1, 'pogo stick': 1, 'scew-like shape': 1, 'street sign': 5, 'minecraft characters': 1, 'kendama toy': 1, 'earring': 1, 'jack hammer': 1, 'dresser knob': 1, 'road sign': 1, 'holy cross': 1, 'toy': 1, 'sign post': 1, 'fire hydrant': 1, 'dummbell': 1, 'pole': 1, 'stick figure': 1, 'eraser': 1}",62,0.7848101265822784,79
26,30,0.3125,49,0.5104166666666666,sphere,21,0.21875,15,"{'sphere': 21, 'atom': 1, 'massager': 9, 'toy': 8, 'octopus': 2, 'character': 6, 'hairstyle': 1, 'molecule': 2, 'glove': 1, 'buttons': 1, 'key chain': 1, 'bop it': 1, 'ring': 1, 'circle': 4, 'bop-it': 1}",60,0.6451612903225806,93
27,34,0.3541666666666667,45,0.46875,antenna,7,0.07291666666666667,36,"{'plant stand': 1, 'antenna': 7, 'keychain': 1, 'head': 7, 'walkie talkie': 1, 'tv': 1, 'pole': 1, 'handles': 1, 'poles': 1, 'levers': 2, 'seat belt': 1, 'swords': 1, 'bone': 1, 'hexagon': 1, 'face': 1, 'equipment': 1, 'slingshot': 1, 'y': 2, 'pendant': 1, 'antibody': 1, 'pillar': 1, 'satellite': 1, 'drum': 1, 'bug': 1, 'cable car': 1, 'drone': 1, 'antena': 2, 'haxagon': 1, 'v': 1, 'buckle': 1, 'character': 2, 'throne': 1, 'rabbit': 2, 'reindeer': 1, 'ears': 1, 'railing': 1}",53,0.5638297872340425,94
28,14,0.14583333333333334,65,0.6770833333333334,airpods,4,0.041666666666666664,24,"{'box': 2, 'half-circle': 2, 'lock': 1, 'bridge': 1, 'air pod': 1, 'airpods': 4, 'ring': 1, 'chain': 2, 'hamburger': 1, 'equipment': 1, 'semi-circle': 1, 'accessory': 1, 'object': 1, 'gum': 1, 'sandwich': 1, 'key ring': 1, 'circle': 2, 'circle box': 1, 'sign': 1, 'weights': 1, 'aripods': 1, 'coin': 1, 'soap': 1, 'sandwitch': 1}",31,0.3333333333333333,93
29,28,0.2916666666666667,51,0.53125,ring,25,0.2604166666666667,9,"{'ring': 25, 'gate': 1, 'circle': 2, 'wheel': 2, 'toy': 6, 'bracelet': 1, 'lock': 1, 'character': 1, 'bar': 1}",40,0.42105263157894735,95
30,38,0.3958333333333333,41,0.4270833333333333,clover,31,0.3229166666666667,16,"{'clover': 31, 'heart': 19, 'bone': 1, 'popcorn': 1, 'bench': 2, 'flower': 5, 'oragami': 1, 'jewel': 1, 'toy': 1, 'doll': 1, 'balloon': 1, 'gifts': 1, 'ornament': 1, 'butterfly': 1, 'hearts': 3, 'drum': 1}",71,0.7634408602150538,93
